Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Country of origin,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,2nd phase - general contingent,"""1""",Communication Design,daytime,Secondary education,108.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,Intermediate Level Technicians and Professions,111.9,False,False,False,True,female,False,19,False,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,Technological specialization diploma holders,"""1""",Agronomy,daytime,Technological specialization course,140.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Intermediate Level Technicians and Professions,140.0,False,False,False,True,female,False,19,False,0,6,18,3,11.666666666666666,0,0,6,14,4,11.5,0,15.5,2.8,-4.06,Enrolled
single,1st phase - general contingent,"""3""",Journalism and Communication,daytime,Secondary education,153.0,Portugal,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,137.6,True,False,False,True,female,False,18,False,0,6,6,6,16.0,0,0,6,7,6,14.333333333333334,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,135.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",135.0,True,False,False,True,female,False,20,False,0,6,6,6,13.833333333333334,0,0,6,6,6,11.833333333333334,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,"""5""",Nursing,daytime,Secondary education,146.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",133.8,True,False,False,True,female,False,19,False,0,8,9,8,13.2325,1,0,8,9,8,13.2325,1,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,"""2""",Journalism and Communication,daytime,Secondary education,130.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126.9,True,False,False,True,male,True,18,False,0,6,6,6,14.0,0,0,6,6,6,14.166666666666666,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,"""2""",Tourism,daytime,Secondary education,113.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions,106.7,True,False,True,True,male,True,19,False,0,6,14,2,10.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout
single,Change of course,"""1""",Social Service (evening attendance),evening,Secondary education,145.7,Cape Verde,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,145.7,True,False,False,True,female,False,25,True,8,16,16,15,13.333333333333334,0,11,13,13,11,12.272727272727272,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,"""3""",Communication Design,daytime,Secondary education,145.0,Portugal,Higher Education - Degree,Higher Education - Degree,Administrative Staff,Administrative Staff,153.1,True,False,False,True,female,True,20,False,0,6,6,6,12.5,0,0,6,6,6,14.333333333333334,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,"""1""",Social Service (evening attendance),evening,Secondary education,126.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",118.7,False,False,False,True,female,False,19,False,0,6,6,6,12.5,0,0,6,6,6,11.5,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,"""1""",Management (evening attendance),evening,Secondary education,160.0,Portugal,Unknown,Unknown,Student,Student,161.8,True,False,True,True,male,False,33,False,0,5,8,2,10.5,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,3rd phase - general contingent,"""4""",Informatics Engineering,daytime,Secondary education,134.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Meal Preparation Assistants,"Workers in Food Processing, Woodworking, Clothing, and Other Industries and Crafts",124.9,True,False,True,True,male,False,18,False,0,5,11,3,10.666666666666666,0,0,5,9,3,11.333333333333334,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,"""1""",Informatics Engineering,daytime,Secondary education,163.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,150.8,True,False,False,True,male,False,18,False,0,5,9,4,10.5,0,0,5,11,2,10.5,3,7.6,2.6,0.32,Enrolled
single,International student (bachelor),"""1""",Management,daytime,Secondary education,130.0,São Tomé and Príncipe,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,130.0,False,False,False,True,female,False,19,True,0,5,10,4,12.0,0,0,5,6,5,11.4,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,"""2""",Animation and Multimedia Design,daytime,Secondary education,165.0,Portugal,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,163.6,True,False,False,True,female,False,18,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Enrolled
single,Change of course,"""1""",Management,daytime,Secondary education,142.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Office Workers, Secretaries in General, and Data Processing Operators","Skilled Construction Workers and the Like, Except Electricians",115.0,False,False,False,True,female,False,19,False,0,5,11,5,11.5,0,0,5,9,2,10.666666666666666,0,13.9,-0.3,0.79,Enrolled
single,1st phase - general contingent,"""1""",Journalism and Communication,daytime,Secondary education,156.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers, and Sellers",Armed Forces Professions,136.8,True,False,False,True,female,False,18,False,0,6,6,6,14.0,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,"""5""",Basic Education,daytime,Secondary education,141.0,Portugal,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction, and Craftsmen",130.9,True,False,False,True,female,False,18,False,0,6,7,6,13.5,0,0,6,8,5,12.6,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,"""3""",Nursing,daytime,Secondary education,143.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",127.0,True,False,False,True,female,False,18,False,0,8,8,8,13.07375,0,0,8,8,8,13.07375,0,9.4,-0.8,-3.12,Graduate
married,Over 23 years old,"""1""",Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,120.0,False,False,False,True,female,False,37,False,0,7,9,2,10.75,0,0,7,9,0,0.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,133.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative Staff,126.0,False,False,False,True,female,False,20,False,0,6,11,1,12.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,"""1""",Tourism,daytime,Secondary education,172.0,Brazil,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",153.8,True,False,False,True,female,True,20,True,0,6,6,6,14.0,0,0,6,6,6,13.333333333333334,0,10.8,1.4,1.74,Graduate
single,International student (bachelor),"""1""",Social Service,daytime,Secondary education,140.0,São Tomé and Príncipe,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",140.0,False,False,False,True,male,False,21,True,0,6,7,6,12.333333333333334,0,0,6,7,6,13.428571428571429,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,"""1""",Nursing,daytime,Secondary education,142.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers, and Sellers",Administrative Staff,136.6,False,False,False,True,female,True,18,False,0,7,7,7,13.464285714285714,0,0,8,9,8,14.788888888888888,0,12.4,0.5,1.79,Graduate
single,Over 23 years old,"""1""",Social Service (evening attendance),evening,Secondary education,140.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,105.0,False,False,False,True,female,False,26,False,0,6,14,3,10.666666666666666,1,0,6,9,5,11.2,0,15.5,2.8,-4.06,Enrolled
single,Over 23 years old,"""1""",Management,daytime,Other - 11th year of schooling,133.1,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",139.4,False,False,True,True,female,False,41,False,0,5,6,5,11.6,0,0,5,8,5,12.2,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,"""2""",Journalism and Communication,daytime,Secondary education,148.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Unskilled Workers,140.0,True,False,False,True,female,True,18,False,0,6,6,6,13.666666666666666,0,0,6,6,6,14.666666666666666,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,"""4""",Nursing,daytime,Secondary education,137.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",130.8,False,False,True,True,female,False,18,False,0,8,9,8,14.4025,1,0,8,9,8,14.4025,1,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,"""1""",Nursing,daytime,Secondary education,143.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,138.8,True,False,False,True,female,False,31,False,0,7,9,7,15.46875,0,0,8,8,8,16.3875,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,133.1,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,Armed Forces Professions,110.0,False,False,True,True,female,False,23,False,0,6,8,6,12.625,0,0,6,6,6,14.166666666666666,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,"""4""",Nursing,daytime,Secondary education,138.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.8,True,False,False,True,female,False,19,False,0,7,7,6,14.983333333333334,0,0,7,7,6,14.983333333333334,0,7.6,2.6,0.32,Graduate
single,1st phase - special contingent (Madeira Island),"""3""",Journalism and Communication,daytime,Secondary education,138.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,Unskilled Workers,134.2,True,False,False,True,female,True,20,False,0,6,6,6,15.0,0,0,6,6,6,13.0,0,11.1,0.6,2.02,Graduate
married,Over 23 years old,"""1""",Social Service (evening attendance),evening,Secondary education,150.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Personal Services, Security and Safety Workers, and Sellers",143.0,False,False,False,True,female,False,40,False,5,9,9,9,15.88888888888889,0,3,7,7,7,14.142857142857142,0,12.7,3.7,-1.7,Graduate
single,Technological specialization diploma holders,"""1""",Veterinary Nursing,daytime,Technological specialization course,120.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,True,False,True,True,female,False,32,False,0,6,14,4,11.5,0,0,6,14,3,11.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,"""4""",Tourism,daytime,Secondary education,110.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",113.2,True,False,False,True,female,False,24,False,0,6,14,2,10.5,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,"""4""",Nursing,daytime,Secondary education,146.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,135.8,True,False,False,True,female,False,18,False,0,7,7,6,13.983333333333334,0,0,7,7,6,13.983333333333334,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,148.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,143.5,False,False,False,True,female,False,18,False,0,6,6,6,13.0,0,0,6,6,6,12.833333333333334,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,145.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",148.9,True,False,False,True,female,True,18,False,0,6,6,6,13.666666666666666,0,0,6,6,6,13.0,0,10.8,1.4,1.74,Graduate
single,Over 23 years old,"""1""",Agronomy,daytime,Secondary education,133.1,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",115.6,True,False,False,False,female,False,27,False,0,6,8,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,"""1""",Management,daytime,Secondary education,160.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",159.3,False,False,False,True,female,False,18,False,0,5,5,5,14.4,0,0,5,5,5,15.4,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,"""1""",Management (evening attendance),evening,Secondary education,150.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,138.5,False,False,False,True,female,False,26,False,0,5,10,4,12.0,0,0,5,9,4,11.25,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,"""1""",Basic Education,daytime,Secondary education,130.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other - 11th Year of Schooling,Unskilled Workers,Administrative Staff,133.2,True,False,False,True,female,False,19,False,0,6,6,6,14.166666666666666,0,0,6,7,6,13.666666666666666,0,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,"""2""",Social Service (evening attendance),evening,Secondary education,120.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unknown,Student,Student,117.6,True,False,False,True,female,False,19,False,0,6,8,5,12.2,0,0,6,7,6,12.0,0,7.6,2.6,0.32,Graduate
single,3rd phase - general contingent,"""2""",Management,daytime,Secondary education,115.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",108.7,True,False,False,True,female,False,21,False,0,5,8,3,12.0,1,0,5,9,3,12.666666666666666,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,"""4""",Management,daytime,Secondary education,133.1,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",106.0,True,False,False,True,female,False,24,False,0,5,11,2,10.5,0,0,5,14,1,11.0,0,12.7,3.7,-1.7,Enrolled
single,2nd phase - general contingent,"""1""",Basic Education,daytime,Secondary education,120.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,122.6,False,False,False,True,female,False,20,False,0,6,8,3,12.333333333333334,0,0,6,11,2,10.5,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,"""4""",Basic Education,daytime,Secondary education,134.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers, and Sellers",Unskilled Workers,127.4,True,False,False,True,female,False,18,False,0,6,7,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Enrolled
single,Over 23 years old,"""1""",Agronomy,daytime,Secondary education,133.1,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,100.0,False,False,False,True,female,False,30,False,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,"""1""",Basic Education,daytime,Secondary education,133.1,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,95.0,True,False,True,False,female,False,22,False,0,7,10,6,11.5,0,0,7,8,6,13.166666666666666,0,11.1,0.6,2.02,Enrolled
single,Holders of other higher courses,"""1""",Management,daytime,Higher education - degree,130.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,130.0,False,False,False,True,female,False,21,False,4,9,9,9,10.88888888888889,0,3,10,18,10,11.615384615384617,0,10.8,1.4,1.74,Graduate
single,Over 23 years old,"""1""",Oral Hygiene,daytime,Secondary education,120.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,"Personal Services, Security and Safety Workers, and Sellers",122.8,False,False,False,True,female,False,26,False,0,7,12,6,12.166666666666666,0,0,8,8,8,11.675,0,13.9,-0.3,0.79,Dropout
single,2nd phase - general contingent,"""1""",Management,daytime,Secondary education,115.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",115.0,True,False,False,True,female,False,23,False,0,5,7,2,10.0,1,0,5,9,1,12.0,0,9.4,-0.8,-3.12,Enrolled
single,2nd phase - general contingent,"""1""",Communication Design,daytime,Secondary education,135.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Unskilled Workers,145.9,False,False,False,True,female,True,18,False,0,6,6,6,12.666666666666666,0,0,6,6,6,12.166666666666666,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,"""1""",Communication Design,daytime,Secondary education,133.1,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Unskilled Workers,143.0,True,False,True,True,female,False,21,False,0,6,9,5,11.4,0,0,6,8,5,12.2,0,12.7,3.7,-1.7,Dropout
single,Change of course,"""1""",Animation and Multimedia Design,daytime,Secondary education,145.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,100.0,False,False,False,True,female,True,18,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout
single,2nd phase - general contingent,"""3""",Veterinary Nursing,daytime,Secondary education,130.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",121.3,True,False,False,True,female,False,21,False,0,5,14,2,13.0,2,0,5,8,4,12.0,1,9.4,-0.8,-3.12,Enrolled
single,2nd phase - general contingent,"""3""",Basic Education,daytime,Secondary education,118.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",121.2,True,False,False,True,female,False,18,False,0,6,8,5,13.4,0,0,6,7,5,12.0,0,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,"""3""",Basic Education,daytime,Secondary education,138.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Unskilled Workers,125.1,True,True,False,True,female,True,19,False,0,6,6,6,13.5,0,0,6,8,5,12.8,0,12.7,3.7,-1.7,Dropout
single,2nd phase - general contingent,"""1""",Tourism,daytime,Secondary education,122.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,Unskilled Workers,112.9,True,False,False,True,female,False,22,False,0,6,14,4,12.25,0,0,6,11,3,11.333333333333334,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,"""3""",Social Service,daytime,Secondary education,126.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,120.8,True,False,False,True,female,False,19,False,0,6,7,6,12.285714285714286,0,0,6,7,6,12.833333333333334,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,"""5""",Veterinary Nursing,daytime,Secondary education,121.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,114.0,True,False,False,False,female,False,19,False,0,5,12,0,0.0,4,0,5,8,0,0.0,1,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,"""1""",Social Service,daytime,Secondary education,152.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Personal Services, Security and Safety Workers, and Sellers",132.1,True,False,False,True,female,False,19,False,0,6,10,2,10.5,0,0,6,11,1,13.0,0,9.4,-0.8,-3.12,Dropout
married,Technological specialization diploma holders,"""1""",Veterinary Nursing,daytime,Technological specialization course,160.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Unskilled Workers in Agriculture, Animal Production, Fisheries, and Forestry","Unskilled Workers in Agriculture, Animal Production, Fisheries, and Forestry",160.0,False,False,False,True,female,False,27,False,0,5,12,3,14.0,2,0,5,8,5,12.0,1,9.4,-0.8,-3.12,Graduate
single,Ordinance No. 854-B/99,"""1""",Veterinary Nursing,daytime,Secondary education,134.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",134.0,True,False,False,True,female,False,22,False,2,5,7,5,14.2,0,0,5,10,5,12.2,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,"""1""",Journalism and Communication,daytime,Secondary education,128.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",124.2,True,False,False,True,female,False,18,False,0,6,8,5,13.0,0,0,6,7,6,13.142857142857142,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,"""4""",Tourism,daytime,Secondary education,125.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",115.6,True,False,False,True,female,False,20,False,0,6,6,6,11.0,0,0,6,8,4,12.75,0,9.4,-0.8,-3.12,Graduate
married,Change of course,"""1""",Management (evening attendance),evening,Secondary education,130.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,128.2,False,False,False,True,female,False,34,False,3,8,9,3,11.0,0,2,7,7,2,10.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,"""2""",Nursing,daytime,Secondary education,138.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,132.8,True,False,False,True,female,False,18,False,0,7,9,6,12.385714285714286,0,0,8,9,8,13.755555555555556,0,13.9,-0.3,0.79,Graduate
